DW_ENDERECO;address_number;city;country;customer_address_1;customer_address_2;customer_address_3;customer_address_4;state;zip_code
27706efaa2f67a6746e3c96b8ff4b7e84f60f242625cd8cea15ae0a881b4fde2;10023023;Thief River Falls;US;600 South Brooks Avenue;Não Informado;Não Informado;Não Informado;MN;56701
2ed3c59425dec64daf9be655a1e316323f30e75b29427db40272efea18b184c4;10014264;Springfield;US;1935 S Campbell;Não Informado;Não Informado;Não Informado;MO;65898
22ab762d81329c6645a3347b05ba29a5857347a01faa737dffe34e0b3ab2dbfa;10025515;Jackson;US;3650 Bay Street;Não Informado;Não Informado;Não Informado;MS;39213
0c373356936380b4b75d3cb3319a5be06ad23a1d40ac4426680b445892f299fa;10009660;Augusta;US;PO box 204658;Não Informado;Não Informado;Não Informado;GA;30917-4658
6bfbe29b362886c7c534a6d2987a3772ff7f496b2537690dab1239d953c3d039;10012600;"";"";"";"";"";"";"";""
a024b049a3a3944cb77eb43b5da2b7396c98e2e60325374f6c773886d353d63e;10002244;Statesville;US;Spicer Clark - Hurth Off Highway Div;1293 Glenway Drive;Não Informado;Não Informado;NC;28625
c420b9eb6660020d8ee3c16a164cdd6422f89b1d43f615c57eb297246f05d86a;10002240;Medford;US;50 Mystic Avenue;Não Informado;Não Informado;Não Informado;MA;2155
40fc7b3c339689c5f9e5cac5b4da52e08dd8e9a75025c7810a4e55631671d54c;10010923;Seocho-GU;AU;231 Yangjae Dong;Não Informado;Não Informado;Não Informado;Não Informado;137-938
18be392e5028bcfedbe417d5562265a422bf0e11408bfb64f7e9d794f7cf1136;10003857;"";"";"";"";"";"";"";""
b0975cbafd24a4461ea0f4a030978be00d762b2d17be9036da69805de66348f1;10013052;"";"";"";"";"";"";"";""
72615e670b05571a6103c0c85d274d6928937103e1bc02efe644f29876fa51bf;10002140;"";"";"";"";"";"";"";""
f65159ad3ca99d2da324a3c07cb7e2f7cc07115824ae908c724bb22ffc465423;10027370;Madrid;UK;General Pardinas 112 Bis;Não Informado;Não Informado;Não Informado;Não Informado;28006
f6b778597c49794047db5ca38312e7bb73c5efcc4271684e782f007b84666cae;10000486;"";"";"";"";"";"";"";""
cf72714da0e6d024ca32b99d1af0946c16805d018c03c3e89e565fbeed799d45;10016588;Schertz;US;6025 Corridor Parkway;Não Informado;Não Informado;Não Informado;TX;78154-3214
b42dbb0af7026a73cd497e38ce0a7ce1ae8242670d7ed14e30e2e997b9b0b554;10014802;"";"";"";"";"";"";"";""
b1cba3e22d9d36043bd9ce8aaa145cfbc92b434a41e330a7d721e18f70d3a27c;10007117;Taipei;AU;8F No.19 Chang Chun Road;Não Informado;Não Informado;Não Informado;Não Informado;104
b0128aed2fb8efb73e7d74b1e0152f49e8317cfbd05f4620877511643803121d;10004256;Portland;US;PO Box 20505;Não Informado;Não Informado;Não Informado;OR;97294
a9ffe85e4e04946cbefa9054ee066e8f0872bba1eba441676a1012c46d95e713;10022434;Placentia;US;PO Box 958;Não Informado;Não Informado;Não Informado;CA;92670
d497200fcd07ae4455e5034ea2cbdceb905edebaaadd863a65c5a2b491a4f375;10025778;Pomona;US;1143 W 2nd Street;Não Informado;Não Informado;Não Informado;CA;91766
1f1d4c883fa748180d8631df0ac02705fdf93abe5f76c1e8811778e61a74fe0d;10013341;"";"";"";"";"";"";"";""
e75f2db81ed2a518365821b1cfc10979b14529c507c1b169264defc1b9c55c1d;10024999;Andover;US;RR 2 BOX 9;Não Informado;Não Informado;Não Informado;SD;57422-8811
ad444fe20555f10af3042a79fde50caf3c375e37cb4a240a3bef0137089a1caf;10018665;Wester Chester;US;1028 Saunders Lane;Não Informado;Não Informado;Não Informado;PA;19380
c375c768f390677ba0893bbba8ef182d4388b14ee1b3575693549bd1c1bcf972;10009653;Mississauga;CA;3355 American Drive;Não Informado;Não Informado;Não Informado;ON;L4V 1B3
7fc18968bee1bb70584f3ba8b8c1266df5708dd19a7de6c4e932bfc36d7ba3a2;10024704;"";"";"";"";"";"";"";""
8b1f9153f0746db929e91c2ca9d84f3e82d7b9a8ad53c71a267e60587fb3c206;10014469;Livonia;US;Accounting Department Service & Parts;PO Box 537940;Não Informado;Não Informado;MI;48153-7940
a938735afd7e8e85c804ab1016fb706e36bdba29a6f9e14713c92bf969a3dae3;10014803;Grand Rapids;US;3056 Eastern Avenue SE;Não Informado;Não Informado;Não Informado;MI;49508
b0f090e4410a49928859dcb8bced4c71d1fa3cd2ccbc9f3d033f14277e74e10e;10025040;San Antonio;US;6127 San Pedro Avenue;Não Informado;Não Informado;Não Informado;TX;78216
b2808bfa563ba6e9fbfa45fe344a693cf7ca0ba16db33dac058df6a11f34ed26;10007591;FIN 00710;UK;Hiekkakiventie 7;Não Informado;Não Informado;Não Informado;Não Informado;710
5d9004c9322760e654e5f7571311702702576a62440d7b4cbeb272867f43038b;10021415;Indianopolis;US;100 Gasoline Alley  Suite A;Não Informado;Não Informado;Não Informado;IN;46222
96921edad85e5b9ab6969e4eb76c47c6d7499123f81753dbd195983fa39f9cdf;10025252;Elkhart;US;PO Box 4405;Não Informado;Não Informado;Não Informado;IN;46514
5a0099885ccd61c4b3412c37df6555e7f7288931fc1b96ed452ca78585050fb0;10026268;Surrey;CA;Unit 403 - 17665 - 66A Avenue;Não Informado;Não Informado;Não Informado;BC;V3S-2A7
5df2398e28935bd7e6f584e229b19ab044286b83a8bc573a445598d46a57442b;10013572;"";"";"";"";"";"";"";""
07b1ff36ff4254397b5d36f59530a223d58b633b506c4d58a00a988e2f578fbd;10024248;Portland;US;9440 North Whitaker Road;Não Informado;Não Informado;Não Informado;OR;97217
